,year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,season,total_delay
225409,2013,6,4,1509.0,1510,-1.0,1746.0,1819,-33.0,UA,595,N593UA,EWR,SFO,319.0,2565,15,10,2013-06-04 15:00:00,spring,-34.0
252103,2013,7,2,1746.0,1655,51.0,2041.0,2005,36.0,VX,413,N627VA,JFK,LAX,303.0,2475,16,55,2013-07-02 16:00:00,summer,87.0
168255,2013,4,4,856.0,859,-3.0,1213.0,1215,-2.0,UA,1025,N15712,LGA,IAH,217.0,1416,8,59,2013-04-04 08:00:00,spring,-5.0
161850,2013,3,28,1159.0,1200,-1.0,1314.0,1339,-25.0,UA,394,N421UA,LGA,ORD,105.0,733,12,0,2013-03-28 12:00:00,spring,-26.0
161761,2013,3,28,1012.0,1014,-2.0,1253.0,1312,-19.0,UA,1148,N76523,EWR,TPA,140.0,997,10,14,2013-03-28 10:00:00,spring,-21.0
209657,2013,5,18,1200.0,1200,0.0,1309.0,1312,-3.0,EV,4228,N14179,EWR,BUF,50.0,282,12,0,2013-05-18 12:00:00,spring,-3.0
197239,2013,5,5,840.0,844,-4.0,1210.0,1155,15.0,UA,1517,N35204,EWR,MIA,183.0,1085,8,44,2013-05-05 08:00:00,spring,11.0
19062,2013,1,22,2058.0,1905,113.0,2217.0,2040,97.0,WN,981,N440LV,LGA,MKE,125.0,738,19,5,2013-01-22 19:00:00,winter,210.0
279894,2013,8,1,553.0,600,-7.0,805.0,806,-1.0,EV,4535,N10156,EWR,MSP,167.0,1008,6,0,2013-08-01 06:00:00,summer,-8.0
105036,2013,12,24,1657.0,1600,57.0,1955.0,1907,48.0,B6,1117,N661JB,LGA,TPA,153.0,1010,16,0,2013-12-24 16:00:00,winter,105.0
37267,2013,10,11,2011.0,1845,86.0,2114.0,2029,45.0,EV,5274,N722EV,LGA,BNA,98.0,764,18,45,2013-10-11 18:00:00,fall,131.0
211950,2013,5,20,2137.0,2136,1.0,2304.0,2241,23.0,EV,4400,N19554,EWR,DCA,38.0,199,21,36,2013-05-20 21:00:00,spring,24.0
179665,2013,4,16,1214.0,1215,-1.0,1354.0,1350,4.0,WN,529,N525SW,EWR,STL,140.0,872,12,15,2013-04-16 12:00:00,spring,3.0
193986,2013,5,1,1529.0,1459,30.0,1710.0,1654,16.0,EV,4381,N11565,EWR,DTW,74.0,488,14,59,2013-05-01 14:00:00,spring,46.0
239140,2013,6,19,657.0,700,-3.0,955.0,1003,-8.0,DL,763,N193DN,JFK,LAX,323.0,2475,7,0,2013-06-19 07:00:00,spring,-11.0
28484,2013,10,2,1429.0,1435,-6.0,1552.0,1609,-17.0,UA,460,N850UA,EWR,CLE,70.0,404,14,35,2013-10-02 14:00:00,fall,-23.0
188046,2013,4,25,848.0,855,-7.0,1054.0,1109,-15.0,DL,2239,N780NC,EWR,DTW,88.0,488,8,55,2013-04-25 08:00:00,spring,-22.0
144387,2013,3,9,1845.0,1850,-5.0,2056.0,2115,-19.0,9E,3443,N915XJ,JFK,MCI,163.0,1113,18,50,2013-03-09 18:00:00,winter,-24.0
146013,2013,3,11,1540.0,1540,0.0,1755.0,1820,-25.0,DL,1344,N315NB,LGA,MCI,161.0,1107,15,40,2013-03-11 15:00:00,winter,-25.0
35421,2013,10,9,2100.0,2059,1.0,2334.0,2358,-24.0,UA,1416,N36472,EWR,MCO,132.0,937,20,59,2013-10-09 20:00:00,fall,-23.0
35156,2013,10,9,1648.0,1650,-2.0,1925.0,1900,25.0,US,516,N651AW,EWR,PHX,299.0,2133,16,50,2013-10-09 16:00:00,fall,23.0
20244,2013,1,24,914.0,900,14.0,1109.0,1048,21.0,UA,225,N806UA,EWR,ORD,122.0,719,9,0,2013-01-24 09:00:00,winter,35.0
257531,2013,7,8,2203.0,1925,158.0,41.0,2243,118.0,DL,2139,N906DL,LGA,MIA,138.0,1096,19,25,2013-07-08 19:00:00,summer,276.0
295885,2013,8,17,1633.0,1634,-1.0,1803.0,1819,-16.0,EV,4702,N11548,EWR,GSO,74.0,445,16,34,2013-08-17 16:00:00,summer,-17.0
283072,2013,8,4,1309.0,1314,-5.0,1602.0,1620,-18.0,B6,1639,N556JB,LGA,RSW,152.0,1080,13,14,2013-08-04 13:00:00,summer,-23.0
152874,2013,3,18,2147.0,1859,168.0,,2125,,FL,645,N958AT,LGA,ATL,,762,18,59,2013-03-18 18:00:00,winter,
59051,2013,11,4,1521.0,1515,6.0,1729.0,1711,18.0,EV,4326,N11187,EWR,CLT,87.0,529,15,15,2013-11-04 15:00:00,fall,24.0
327767,2013,9,21,750.0,759,-9.0,1007.0,1016,-9.0,9E,3507,N907XJ,JFK,MSY,160.0,1182,7,59,2013-09-21 07:00:00,summer,-18.0
113426,2013,2,3,1648.0,1650,-2.0,1806.0,1841,-35.0,DL,1536,N321NB,LGA,PIT,58.0,335,16,50,2013-02-03 16:00:00,winter,-37.0
23399,2013,1,28,615.0,601,14.0,734.0,725,9.0,EV,4708,N14923,EWR,MKE,121.0,725,6,1,2013-01-28 06:00:00,winter,23.0
176394,2013,4,12,2004.0,2000,4.0,2141.0,2119,22.0,US,2189,N762US,LGA,DCA,65.0,214,20,0,2013-04-12 20:00:00,spring,26.0
126520,2013,2,18,1357.0,1359,-2.0,1703.0,1657,6.0,UA,1003,N37298,EWR,PBI,169.0,1023,13,59,2013-02-18 13:00:00,winter,4.0
133383,2013,2,25,2347.0,2145,122.0,30.0,2239,111.0,EV,4378,N18557,EWR,BWI,33.0,169,21,45,2013-02-25 21:00:00,winter,233.0
185229,2013,4,22,1025.0,1030,-5.0,1350.0,1340,10.0,AA,19,N336AA,JFK,LAX,341.0,2475,10,30,2013-04-22 10:00:00,spring,5.0
126621,2013,2,18,1536.0,1540,-4.0,1713.0,1743,-30.0,9E,3523,N917XJ,JFK,ORD,128.0,740,15,40,2013-02-18 15:00:00,winter,-34.0
336526,2013,9,30,1731.0,1729,2.0,2008.0,2030,-22.0,UA,1692,N36472,EWR,SAN,302.0,2425,17,29,2013-09-30 17:00:00,fall,-20.0
129288,2013,2,21,1213.0,1205,8.0,1427.0,1345,42.0,MQ,4431,N734MQ,LGA,RDU,74.0,431,12,5,2013-02-21 12:00:00,winter,50.0
247372,2013,6,27,1640.0,1430,130.0,2057.0,1735,202.0,B6,301,N563JB,JFK,FLL,149.0,1069,14,30,2013-06-27 14:00:00,summer,332.0
82461,2013,11,30,827.0,829,-2.0,1026.0,1028,-2.0,B6,219,N183JB,JFK,CLT,90.0,541,8,29,2013-11-30 08:00:00,fall,-4.0
145915,2013,3,11,1406.0,1410,-4.0,1530.0,1555,-25.0,MQ,4491,N736MQ,LGA,CLE,68.0,419,14,10,2013-03-11 14:00:00,winter,-29.0
43213,2013,10,18,922.0,910,12.0,1233.0,1229,4.0,DL,874,N336NB,LGA,MIA,166.0,1096,9,10,2013-10-18 09:00:00,fall,16.0
79461,2013,11,26,1312.0,1246,26.0,1509.0,1448,21.0,9E,3342,N925XJ,EWR,DTW,92.0,488,12,46,2013-11-26 12:00:00,fall,47.0
144382,2013,3,9,1830.0,1835,-5.0,2130.0,2154,-24.0,DL,1433,N912DE,LGA,RSW,151.0,1080,18,35,2013-03-09 18:00:00,winter,-29.0
279828,2013,7,31,2117.0,2130,-13.0,2.0,14,-12.0,B6,1371,N537JB,LGA,FLL,144.0,1076,21,30,2013-07-31 21:00:00,summer,-25.0
65174,2013,11,11,829.0,830,-1.0,934.0,944,-10.0,9E,2901,N910XJ,JFK,BOS,38.0,187,8,30,2013-11-11 08:00:00,fall,-11.0
324349,2013,9,17,1536.0,1510,26.0,1735.0,1735,0.0,MQ,3202,N698MQ,JFK,IND,98.0,665,15,10,2013-09-17 15:00:00,summer,26.0
146694,2013,3,12,954.0,1001,-7.0,1102.0,1116,-14.0,UA,1233,N39728,EWR,BOS,44.0,200,10,1,2013-03-12 10:00:00,winter,-21.0
70563,2013,11,16,2037.0,2045,-8.0,2359.0,2359,0.0,B6,1295,N635JB,JFK,AUS,232.0,1521,20,45,2013-11-16 20:00:00,fall,-8.0
267884,2013,7,19,1349.0,1349,0.0,1511.0,1515,-4.0,UA,643,N449UA,EWR,ORD,103.0,719,13,49,2013-07-19 13:00:00,summer,-4.0
206191,2013,5,14,1757.0,1639,78.0,2001.0,1913,48.0,EV,4705,N13964,EWR,ATL,101.0,746,16,39,2013-05-14 16:00:00,spring,126.0
323478,2013,9,16,1708.0,1710,-2.0,1953.0,2000,-7.0,UA,527,N840UA,EWR,DFW,186.0,1372,17,10,2013-09-16 17:00:00,summer,-9.0
228736,2013,6,8,532.0,538,-6.0,806.0,808,-2.0,UA,327,N486UA,EWR,IAH,188.0,1400,5,38,2013-06-08 05:00:00,spring,-8.0
128434,2013,2,20,1423.0,1425,-2.0,1732.0,1750,-18.0,UA,394,N502UA,JFK,SFO,349.0,2586,14,25,2013-02-20 14:00:00,winter,-20.0
209609,2013,5,18,1053.0,1059,-6.0,1211.0,1217,-6.0,EV,4391,N13978,EWR,BNA,106.0,748,10,59,2013-05-18 10:00:00,spring,-12.0
38339,2013,10,13,931.0,935,-4.0,1228.0,1230,-2.0,B6,223,N809JB,JFK,LAX,336.0,2475,9,35,2013-10-13 09:00:00,fall,-6.0
191690,2013,4,29,848.0,805,43.0,1052.0,1014,38.0,EV,4522,N17115,EWR,OMA,159.0,1134,8,5,2013-04-29 08:00:00,spring,81.0
182435,2013,4,19,826.0,829,-3.0,1029.0,1034,-5.0,MQ,4478,N722MQ,LGA,DTW,85.0,502,8,29,2013-04-19 08:00:00,spring,-8.0
255924,2013,7,7,906.0,915,-9.0,1013.0,1039,-26.0,DL,867,N330NB,JFK,BOS,39.0,187,9,15,2013-07-07 09:00:00,summer,-35.0
235611,2013,6,15,1024.0,1030,-6.0,1306.0,1335,-29.0,AA,601,N327AA,JFK,MIA,129.0,1089,10,30,2013-06-15 10:00:00,spring,-35.0
285354,2013,8,6,1740.0,1721,19.0,2014.0,2001,13.0,UA,1712,N35407,EWR,IAH,181.0,1400,17,21,2013-08-06 17:00:00,summer,32.0
220782,2013,5,30,1458.0,1455,3.0,1758.0,1801,-3.0,B6,377,N715JB,LGA,FLL,146.0,1076,14,55,2013-05-30 14:00:00,spring,0.0
130789,2013,2,22,2301.0,1945,196.0,129.0,2241,168.0,9E,3287,N932XJ,JFK,JAX,133.0,828,19,45,2013-02-22 19:00:00,winter,364.0
66796,2013,11,12,1928.0,1935,-7.0,2132.0,2149,-17.0,9E,2911,N919XJ,JFK,CVG,96.0,589,19,35,2013-11-12 19:00:00,fall,-24.0
118751,2013,2,9,,1220,,,1342,,B6,66,N323JB,JFK,BUF,,301,12,20,2013-02-09 12:00:00,winter,
256035,2013,7,7,1140.0,1145,-5.0,1337.0,1358,-21.0,DL,401,N358NB,EWR,ATL,101.0,746,11,45,2013-07-07 11:00:00,summer,-26.0
186767,2013,4,23,2126.0,2000,86.0,2347.0,2218,89.0,EV,4642,N27200,EWR,OMA,177.0,1134,20,0,2013-04-23 20:00:00,spring,175.0
83806,2013,12,1,1643.0,1630,13.0,1800.0,1800,0.0,B6,2302,N317JB,JFK,BUF,58.0,301,16,30,2013-12-01 16:00:00,fall,13.0
7489,2013,1,9,1447.0,1455,-8.0,1629.0,1637,-8.0,9E,3318,N921XJ,JFK,BUF,64.0,301,14,55,2013-01-09 14:00:00,winter,-16.0
316391,2013,9,9,708.0,710,-2.0,926.0,957,-31.0,UA,478,N411UA,EWR,MCO,121.0,937,7,10,2013-09-09 07:00:00,summer,-33.0
94295,2013,12,12,1936.0,1610,206.0,2328.0,1926,242.0,UA,375,N467UA,EWR,SEA,368.0,2402,16,10,2013-12-12 16:00:00,fall,448.0
31207,2013,10,5,1110.0,1115,-5.0,1228.0,1259,-31.0,EV,5273,N717EV,LGA,PIT,57.0,335,11,15,2013-10-05 11:00:00,fall,-36.0
296326,2013,8,18,926.0,930,-4.0,1030.0,1039,-9.0,B6,116,N206JB,JFK,SYR,40.0,209,9,30,2013-08-18 09:00:00,summer,-13.0
323619,2013,9,16,1924.0,1925,-1.0,2057.0,2048,9.0,EV,4131,N19554,EWR,RIC,54.0,277,19,25,2013-09-16 19:00:00,summer,8.0
306392,2013,8,28,2004.0,1800,124.0,2233.0,2053,100.0,UA,798,N521UA,EWR,PBI,131.0,1023,18,0,2013-08-28 18:00:00,summer,224.0
221164,2013,5,30,2118.0,2120,-2.0,2342.0,2358,-16.0,B6,619,N197JB,JFK,JAX,117.0,828,21,20,2013-05-30 21:00:00,spring,-18.0
87641,2013,12,5,1736.0,1740,-4.0,2138.0,2118,20.0,B6,135,N705JB,JFK,PHX,329.0,2153,17,40,2013-12-05 17:00:00,fall,16.0
36649,2013,10,11,823.0,825,-2.0,1048.0,1029,19.0,US,1831,N152UW,JFK,CLT,102.0,541,8,25,2013-10-11 08:00:00,fall,17.0
186990,2013,4,24,737.0,745,-8.0,904.0,903,1.0,EV,4243,N16147,EWR,BNA,124.0,748,7,45,2013-04-24 07:00:00,spring,-7.0
48204,2013,10,23,1708.0,1710,-2.0,2012.0,2033,-21.0,B6,167,N591JB,JFK,OAK,338.0,2576,17,10,2013-10-23 17:00:00,fall,-23.0
69783,2013,11,15,1953.0,1956,-3.0,2221.0,2234,-13.0,DL,2454,N3738B,JFK,DEN,235.0,1626,19,56,2013-11-15 19:00:00,fall,-16.0
141768,2013,3,6,,1050,,,1250,,MQ,4589,N519MQ,LGA,DTW,,502,10,50,2013-03-06 10:00:00,winter,
222409,2013,6,1,915.0,925,-10.0,1056.0,1110,-14.0,AA,1855,N575AA,LGA,STL,138.0,888,9,25,2013-06-01 09:00:00,spring,-24.0
131473,2013,2,23,1930.0,1925,5.0,2224.0,2229,-5.0,DL,1485,N906DE,LGA,MCO,143.0,950,19,25,2013-02-23 19:00:00,winter,0.0
334549,2013,9,28,1344.0,1345,-1.0,1556.0,1633,-37.0,B6,581,N663JB,JFK,HOU,170.0,1428,13,45,2013-09-28 13:00:00,fall,-38.0
165405,2013,4,1,1055.0,1100,-5.0,1355.0,1358,-3.0,UA,1143,N77525,EWR,PBI,159.0,1023,11,0,2013-04-01 11:00:00,spring,-8.0
13103,2013,1,16,3.0,1946,257.0,212.0,2154,258.0,EV,4536,N16987,EWR,CVG,111.0,569,19,46,2013-01-16 19:00:00,winter,515.0
319757,2013,9,12,1600.0,1527,33.0,1821.0,1701,80.0,UA,550,N456UA,EWR,CLE,97.0,404,15,27,2013-09-12 15:00:00,summer,113.0
323471,2013,9,16,1701.0,1700,1.0,2010.0,1954,16.0,UA,525,N485UA,LGA,IAH,196.0,1416,17,0,2013-09-16 17:00:00,summer,17.0
156902,2013,3,23,621.0,620,1.0,928.0,921,7.0,UA,321,N577UA,LGA,IAH,222.0,1416,6,20,2013-03-23 06:00:00,spring,8.0
276413,2013,7,28,1417.0,1338,39.0,1717.0,1634,43.0,B6,213,N517JB,JFK,LGB,333.0,2465,13,38,2013-07-28 13:00:00,summer,82.0
167957,2013,4,3,2034.0,2040,-6.0,2207.0,2200,7.0,MQ,4449,N824MQ,JFK,DCA,50.0,213,20,40,2013-04-03 20:00:00,spring,1.0
160990,2013,3,27,1439.0,1355,44.0,1716.0,1648,28.0,UA,985,N437UA,EWR,MCO,135.0,937,13,55,2013-03-27 13:00:00,spring,72.0
215519,2013,5,24,1646.0,1550,56.0,1907.0,1900,7.0,AA,763,N3BWAA,LGA,DFW,182.0,1389,15,50,2013-05-24 15:00:00,spring,63.0
304546,2013,8,26,2007.0,2011,-4.0,2226.0,2254,-28.0,UA,1482,N33266,EWR,IAH,173.0,1400,20,11,2013-08-26 20:00:00,summer,-32.0
309959,2013,9,2,611.0,614,-3.0,805.0,809,-4.0,US,2063,N199UW,JFK,CLT,89.0,541,6,14,2013-09-02 06:00:00,summer,-7.0
312468,2013,9,4,1649.0,1700,-11.0,1925.0,1955,-30.0,WN,3928,N410WN,EWR,HOU,184.0,1411,17,0,2013-09-04 17:00:00,summer,-41.0
115384,2013,2,5,1844.0,1800,44.0,2028.0,1939,49.0,UA,691,N414UA,LGA,ORD,115.0,733,18,0,2013-02-05 18:00:00,winter,93.0
285868,2013,8,7,923.0,925,-2.0,1227.0,1220,7.0,VX,407,N636VA,JFK,LAX,330.0,2475,9,25,2013-08-07 09:00:00,summer,5.0
481,2013,1,1,1530.0,1530,0.0,1650.0,1655,-5.0,9E,3369,N913XJ,JFK,BWI,40.0,184,15,30,2013-01-01 15:00:00,winter,-5.0
257192,2013,7,8,1530.0,1500,30.0,1653.0,1622,31.0,US,2179,N742PS,LGA,DCA,57.0,214,15,0,2013-07-08 15:00:00,summer,61.0
179270,2013,4,15,2251.0,2255,-4.0,18.0,11,7.0,B6,30,N274JB,JFK,ROC,52.0,264,22,55,2013-04-15 22:00:00,spring,3.0
296826,2013,8,18,1827.0,1823,4.0,2018.0,2015,3.0,UA,258,N847UA,EWR,ORD,106.0,719,18,23,2013-08-18 18:00:00,summer,7.0
260992,2013,7,12,1055.0,1055,0.0,1404.0,1411,-7.0,DL,1903,N333NB,LGA,SRQ,153.0,1047,10,55,2013-07-12 10:00:00,summer,-7.0
230635,2013,6,10,836.0,836,0.0,939.0,947,-8.0,B6,1172,N334JB,EWR,BOS,36.0,200,8,36,2013-06-10 08:00:00,spring,-8.0
264172,2013,7,15,1811.0,1815,-4.0,2043.0,2046,-3.0,DL,926,N317NB,EWR,ATL,105.0,746,18,15,2013-07-15 18:00:00,summer,-7.0
290191,2013,8,11,1928.0,1830,58.0,2236.0,2155,41.0,UA,389,N512UA,JFK,SFO,332.0,2586,18,30,2013-08-11 18:00:00,summer,99.0
62431,2013,11,8,626.0,631,-5.0,732.0,742,-10.0,EV,4241,N13979,EWR,DCA,43.0,199,6,31,2013-11-08 06:00:00,fall,-15.0
321869,2013,9,15,556.0,604,-8.0,850.0,906,-16.0,UA,684,N420UA,EWR,LAX,309.0,2454,6,4,2013-09-15 06:00:00,summer,-24.0
87880,2013,12,5,2301.0,2135,86.0,249.0,55,114.0,AA,185,N323AA,JFK,LAX,382.0,2475,21,35,2013-12-05 21:00:00,fall,200.0
